Pattern	POS
تُفَعَّلُوا	v
تُفَعَّلْنَ	v
يُفَعَّلَ	v
تُفَعَّلَ	v
يُفَعَّلاَ	v
تُفَعَّلاَ	v
يُفَعَّلُوا	v
يُفَعَّلْنَ	v
أُفَعَّلْ	v
نُفَعَّلْ	v
تُفَعَّلْ	v
تُفَعَّلِي	v
تُفَعَّلاَ	v
تُفَعَّلُوا	v
تُفَعَّلْنَ	v
يُفَعَّلْ	v
تُفَعَّلْ	v
يُفَعَّلاَ	v
تُفَعَّلاَ	v
يُفَعَّلُوا	v
يُفَعَّلْنَ	v
أُفَعَّلَنَّ	v
نُفَعَّلَنَّ	v
تُفَعَّلَنَّ	v
تُفَعَّلِنَّ	v
تُفَعَّلاَنِّ	v
تُفَعَّلُنَّ	v
تُفَعَّلْنَانِّ	v
يُفَعَّلَنَّ	v
تُفَعَّلَنَّ	v
يُفَعَّلاَنِّ	v
تُفَعَّلاَنِّ	v
يُفَعَّلُنَّ	v
يُفَعَّلْنَانِّ	v
فُوعِلْتُ‏	v
فُوعِلْنَا	v
فُوعِلْتَ	v
فُوعِلْتِ	v
فُوعِلْتُمَا	v
فُوعِلْتُمْ	v
فُوعِلْتُنَّ	v
فُوعِلَ	v
فُوعِلَتْ	v
فُوعِلاَ	v
فُوعِلَتَا	v
فُوعِلُوا	v
فُوعِلْنَ	v
أُفَاعَلُ	v
نُفَاعَلُ	v
تُفَاعَلُ	v
تُفَاعَلِينَ	v
تُفَاعَلاَنِ	v
تُفَاعَلُونَ	v
تُفَاعَلْنَ	v
يُفَاعَلُ	v
تُفَاعَلُ	v
يُفَاعَلاَنِ	v
تُفَاعَلاَنِ	v
يُفَاعَلُونَ	v
يُفَاعَلْنَ	v
أُفَاعَلَ	v
نُفَاعَلَ	v
تُفَاعَلَ	v
تُفَاعَلِي	v
تُفَاعَلاَ	v
تُفَاعَلُوا	v
تُفَاعَلْنَ	v
يُفَاعَلَ	v
تُفَاعَلَ	v
يُفَاعَلاَ	v
تُفَاعَلاَ	v
يُفَاعَلُوا	v
يُفَاعَلْنَ	v
أُفَاعَلْ	v
نُفَاعَلْ	v
تُفَاعَلْ	v
تُفَاعَلِي	v
تُفَاعَلاَ	v
تُفَاعَلُوا	v
تُفَاعَلْنَ	v
يُفَاعَلْ	v
تُفَاعَلْ	v
يُفَاعَلاَ	v
تُفَاعَلاَ	v
يُفَاعَلُوا	v
يُفَاعَلْنَ	v
أُفَاعَلَنَّ	v
نُفَاعَلَنَّ	v
تُفَاعَلَنَّ	v
تُفَاعَلِنَّ	v
تُفَاعَلاَنِّ	v
تُفَاعَلُنَّ	v
تُفَاعَلْنَانِّ	v
يُفَاعَلَنَّ	v
تُفَاعَلَنَّ	v
يُفَاعَلاَنِّ	v
تُفَاعَلاَنِّ	v
يُفَاعَلُنَّ	v
يُفَاعَلْنَانِّ	v
انْفُعِلْتُ‏	v
انْفُعِلْنَا	v
انْفُعِلْتَ	v
انْفُعِلْتِ	v
انْفُعِلْتُمَا	v
انْفُعِلْتُمْ	v
انْفُعِلْتُنَّ	v
انْفُعِلَ	v
انْفُعِلَتْ	v
انْفُعِلاَ	v
انْفُعِلَتَا	v
انْفُعِلُوا	v
انْفُعِلْنَ	v
أُنْفَعَلُ	v
نُنْفَعَلُ	v
تُنْفَعَلُ	v
تُنْفَعَلِينَ	v
تُنْفَعَلاَنِ	v
تُنْفَعَلُونَ	v
تُنْفَعَلْنَ	v
يُنْفَعَلُ	v
تُنْفَعَلُ	v
يُنْفَعَلاَنِ	v
تُنْفَعَلاَنِ	v
يُنْفَعَلُونَ	v
يُنْفَعَلْنَ	v
أُنْفَعَلَ	v
نُنْفَعَلَ	v
تُنْفَعَلَ	v
تُنْفَعَلِي	v
تُنْفَعَلاَ	v
تُنْفَعَلُوا	v
تُنْفَعَلْنَ	v
يُنْفَعَلَ	v
تُنْفَعَلَ	v
يُنْفَعَلاَ	v
تُنْفَعَلاَ	v
يُنْفَعَلُوا	v
يُنْفَعَلْنَ	v
أُنْفَعَلْ	v
نُنْفَعَلْ	v
تُنْفَعَلْ	v
تُنْفَعَلِي	v
تُنْفَعَلاَ	v
تُنْفَعَلُوا	v
تُنْفَعَلْنَ	v
يُنْفَعَلْ	v
تُنْفَعَلْ	v
يُنْفَعَلاَ	v
تُنْفَعَلاَ	v
يُنْفَعَلُوا	v
يُنْفَعَلْنَ	v
أُنْفَعَلَنَّ	v
نُنْفَعَلَنَّ	v
تُنْفَعَلَنَّ	v
تُنْفَعَلِنَّ	v
تُنْفَعَلاَنِّ	v
تُنْفَعَلُنَّ	v
تُنْفَعَلْنَانِّ	v
يُنْفَعَلَنَّ	v
تُنْفَعَلَنَّ	v
يُنْفَعَلاَنِّ	v
تُنْفَعَلاَنِّ	v
يُنْفَعَلُنَّ	v
يُنْفَعَلْنَانِّ	v
افْتُعِلْتُ‏	v
افْتُعِلْنَا	v
افْتُعِلْتَ	v
افْتُعِلْتِ	v
افْتُعِلْتُمَا	v
افْتُعِلْتُمْ	v
افْتُعِلْتُنَّ	v
افْتُعِلَ	v
افْتُعِلَتْ	v
افْتُعِلاَ	v
افْتُعِلَتَا	v
افْتُعِلُوا	v
افْتُعِلْنَ	v
أُفْتَعَلُ	v
نُفْتَعَلُ	v
تُفْتَعَلُ	v
تُفْتَعَلِينَ	v
تُفْتَعَلاَنِ	v
تُفْتَعَلُونَ	v
تُفْتَعَلْنَ	v
يُفْتَعَلُ	v
تُفْتَعَلُ	v
يُفْتَعَلاَنِ	v
تُفْتَعَلاَنِ	v
يُفْتَعَلُونَ	v
يُفْتَعَلْنَ	v
أُفْتَعَلَ	v
نُفْتَعَلَ	v
تُفْتَعَلَ	v
تُفْتَعَلِي	v
تُفْتَعَلاَ	v
تُفْتَعَلُوا	v
تُفْتَعَلْنَ	v
يُفْتَعَلَ	v
تُفْتَعَلَ	v
يُفْتَعَلاَ	v
تُفْتَعَلاَ	v
يُفْتَعَلُوا	v
يُفْتَعَلْنَ	v
أُفْتَعَلْ	v
نُفْتَعَلْ	v
تُفْتَعَلْ	v
تُفْتَعَلِي	v
تُفْتَعَلاَ	v
تُفْتَعَلُوا	v
تُفْتَعَلْنَ	v
يُفْتَعَلْ	v
تُفْتَعَلْ	v
يُفْتَعَلاَ	v
تُفْتَعَلاَ	v
يُفْتَعَلُوا	v
يُفْتَعَلْنَ	v
أُفْتَعَلَنَّ	v
نُفْتَعَلَنَّ	v
تُفْتَعَلَنَّ	v
تُفْتَعَلِنَّ	v
تُفْتَعَلاَنِّ	v
تُفْتَعَلُنَّ	v
تُفْتَعَلْنَانِّ	v
يُفْتَعَلَنَّ	v
تُفْتَعَلَنَّ	v
يُفْتَعَلاَنِّ	v
تُفْتَعَلاَنِّ	v
يُفْتَعَلُنَّ	v
يُفْتَعَلْنَانِّ	v
افْعُلِلْتُ‏	v
افْعُلِلْنَا	v
افْعُلِلْتَ	v
افْعُلِلْتِ	v
افْعُلِلْتُمَا	v
افْعُلِلْتُمْ	v
افْعُلِلْتُنَّ	v
افْعُلَّ	v
افْعُلَّتْ	v
افْعُلاَّ	v
افْعُلَّتَا	v
افْعُلُّوا	v
افْعُلِلْنَ	v
أُفْعَلُّ	v
نُفْعَلُّ	v
تُفْعَلُّ	v
تُفْعَلِّينَ	v
تُفْعَلاَّنِ	v
تُفْعَلُّونَ	v
تُفْعَلَلْنَ	v
يُفْعَلُّ	v
تُفْعَلُّ	v
يُفْعَلاَّنِ	v
تُفْعَلاَّنِ	v
يُفْعَلُّونَ	v
يُفْعَلَلْنَ	v
أُفْعَلَّ	v
نُفْعَلَّ	v
تُفْعَلَّ	v
تُفْعَلِّي	v
تُفْعَلاَّ	v
تُفْعَلُّوا	v
تُفْعَلَلْنَ	v
يُفْعَلَّ	v
تُفْعَلَّ	v
يُفْعَلاَّ	v
تُفْعَلاَّ	v
يُفْعَلُّوا	v
يُفْعَلَلْنَ	v
أُفْعَلَّ	v
نُفْعَلَّ	v
تُفْعَلَّ	v
تُفْعَلِّي	v
تُفْعَلاَّ	v
تُفْعَلُّوا	v
تُفْعَلَلْنَ	v
يُفْعَلَّ	v
تُفْعَلَّ	v
يُفْعَلاَّ	v
تُفْعَلاَّ	v
يُفْعَلُّوا	v
يُفْعَلَلْنَ	v
أُفْعَلَّنَّ	v
نُفْعَلَّنَّ	v
تُفْعَلَّنَّ	v
تُفْعَلِّنَّ	v
تُفْعَلاَّنِّ	v
تُفْعَلُّنَّ	v
تُفْعَلَلْنَانِّ	v
يُفْعَلَّنَّ	v
تُفْعَلَّنَّ	v
يُفْعَلاَّنِّ	v
تُفْعَلاَّنِّ	v
يُفْعَلُّنَّ	v
يُفْعَلَلْنَانِّ	v
تُفُوعِلْتُ‏	v
تُفُوعِلْنَا	v
تُفُوعِلْتَ	v
تُفُوعِلْتِ	v
تُفُوعِلْتُمَا	v
تُفُوعِلْتُمْ	v
تُفُوعِلْتُنَّ	v
تُفُوعِلَ	v
تُفُوعِلَتْ	v
تُفُوعِلاَ	v
تُفُوعِلَتَا	v
تُفُوعِلُوا	v
تُفُوعِلْنَ	v
أُتَفَاعَلُ	v
نُتَفَاعَلُ	v
تُتَفَاعَلُ	v
تُتَفاعَلِينَ	v
تُتَفَاعَلاَنِ	v
تُتَفَاعَلُونَ	v
تُتَفَاعَلْنَ	v
يُتَفَاعَلُ	v
تُتَفَاعَلُ	v
يُتَفَاعَلاَنِ	v
تُتَفَاعَلاَنِ	v
يُتَفَاعَلُونَ	v
يُتَفَاعَلْنَ	v
أُتَفَاعَلَ	v
نُتَفَاعَلَ	v
تُتَفَاعَلَ	v
تُتَفاعَلِي	v
تُتَفَاعَلاَ	v
تُتَفَاعَلُوا	v
تُتَفَاعَلْنَ	v
يُتَفَاعَلَ	v
تُتَفَاعَلَ	v
يُتَفَاعَلاَ	v
تُتَفَاعَلاَ	v
يُتَفَاعَلُوا	v
يُتَفَاعَلْنَ	v
أُتَفَاعَلْ	v
نُتَفَاعَلْ	v
تُتَفَاعَلْ	v
تُتَفاعَلِي	v
تُتَفَاعَلاَ	v
تُتَفَاعَلُوا	v
تُتَفَاعَلْنَ	v
يُتَفَاعَلْ	v
تُتَفَاعَلْ	v
يُتَفَاعَلاَ	v
تُتَفَاعَلاَ	v
يُتَفَاعَلُوا	v
يُتَفَاعَلْنَ	v
أُتَفَاعَلَنَّ	v
نُتَفَاعَلَنَّ	v
تُتَفَاعَلَنَّ	v
تُتَفاعَلِنَّ	v
تُتَفَاعَلاَنِّ	v
تُتَفَاعَلُنَّ	v
تُتَفَاعَلْنَانِّ	v
يُتَفَاعَلَنَّ	v
تُتَفَاعَلَنَّ	v
يُتَفَاعَلاَنِّ	v
تُتَفَاعَلاَنِّ	v
يُتَفَاعَلُنَّ	v
يُتَفَاعَلْنَانِّ	v
تُفُعِّلْتُ‏	v
تُفُعِّلْنَا	v
تُفُعِّلْتَ	v
تُفُعِّلْتِ	v
تُفُعِّلْتُمَا	v
تُفُعِّلْتُمْ	v
تُفُعِّلْتُنَّ	v
تُفُعِّلَ	v
تُفُعِّلَتْ	v
تُفُعِّلاَ	v
تُفُعِّلَتَا	v
تُفُعِّلُوا	v
تُفُعِّلْنَ	v
أُتَفَعَّلُ	v
نُتَفَعَّلُ	v
تُتَفَعَّلُ	v
تُتَفَعَّلِينَ	v
تُتَفَعَّلاَنِ	v
تُتَفَعَّلُونَ	v
تُتَفَعَّلْنَ	v
يُتَفَعَّلُ	v
تُتَفَعَّلُ	v
يُتَفَعَّلاَنِ	v
تُتَفَعَّلاَنِ	v
يُتَفَعَّلُونَ	v
يُتَفَعَّلْنَ	v
أُتَفَعَّلَ	v
نُتَفَعَّلَ	v
تُتَفَعَّلَ	v
تُتَفَعَّلِي	v
تُتَفَعَّلاَ	v
تُتَفَعَّلُوا	v
تُتَفَعَّلْنَ	v
يُتَفَعَّلَ	v
تُتَفَعَّلَ	v
يُتَفَعَّلاَ	v
تُتَفَعَّلاَ	v
يُتَفَعَّلُوا	v
يُتَفَعَّلْنَ	v
أُتَفَعَّلْ	v
نُتَفَعَّلْ	v
تُتَفَعَّلْ	v
تُتَفَعَّلِي	v
تُتَفَعَّلاَ	v
تُتَفَعَّلُوا	v
تُتَفَعَّلْنَ	v
يُتَفَعَّلْ	v
تُتَفَعَّلْ	v
يُتَفَعَّلاَ	v
تُتَفَعَّلاَ	v
يُتَفَعَّلُوا	v
يُتَفَعَّلْنَ	v
أُتَفَعَّلَنَّ	v
نُتَفَعَّلَنَّ	v
تُتَفَعَّلَنَّ	v
تُتَفَعَّلِنَّ	v
تُتَفَعَّلاَنِّ	v
تُتَفَعَّلُنَّ	v
تُتَفَعَّلْنَانِّ	v
يُتَفَعَّلَنَّ	v
تُتَفَعَّلَنَّ	v
يُتَفَعَّلاَنِّ	v
تُتَفَعَّلاَنِّ	v
يُتَفَعَّلُنَّ	v
يُتَفَعَّلْنَانِّ	v
اسْتُفْعِلْتُ‏	v
اسْتُفْعِلْنَا	v
اسْتُفْعِلْتَ	v
اسْتُفْعِلْتِ	v
اسْتُفْعِلْتُمَا	v
اسْتُفْعِلْتُمْ	v
اسْتُفْعِلْتُنَّ	v
اسْتُفْعِلَ	v
اسْتُفْعِلَتْ	v
اسْتُفْعِلاَ	v
اسْتُفْعِلَتَا	v
اسْتُفْعِلُوا	v
اسْتُفْعِلْنَ	v
أُسْتَفْعَلُ	v
نُسْتَفْعَلُ	v
تُسْتَفْعَلُ	v
تُسْتَفْعَلِينَ	v
تُسْتَفْعَلاَنِ	v
تُسْتَفْعَلُونَ	v
تُسْتَفْعَلْنَ	v
يُسْتَفْعَلُ	v
تُسْتَفْعَلُ	v
يُسْتَفْعَلاَنِ	v
تُسْتَفْعَلاَنِ	v
يُسْتَفْعَلُونَ	v
يُسْتَفْعَلْنَ	v
أُسْتَفْعَلَ	v
نُسْتَفْعَلَ	v
تُسْتَفْعَلَ	v
تُسْتَفْعَلِي	v
تُسْتَفْعَلاَ	v
تُسْتَفْعَلُوا	v
تُسْتَفْعَلْنَ	v
يُسْتَفْعَلَ	v
تُسْتَفْعَلَ	v
يُسْتَفْعَلاَ	v
تُسْتَفْعَلاَ	v
يُسْتَفْعَلُوا	v
يُسْتَفْعَلْنَ	v
أُسْتَفْعَلْ	v
نُسْتَفْعَلْ	v
تُسْتَفْعَلْ	v
تُسْتَفْعَلِي	v
تُسْتَفْعَلاَ	v
تُسْتَفْعَلُوا	v
تُسْتَفْعَلْنَ	v
يُسْتَفْعَلْ	v
تُسْتَفْعَلْ	v
يُسْتَفْعَلاَ	v
تُسْتَفْعَلاَ	v
يُسْتَفْعَلُوا	v
يُسْتَفْعَلْنَ	v
أُسْتَفْعَلَنَّ	v
نُسْتَفْعَلَنَّ	v
تُسْتَفْعَلَنَّ	v
تُسْتَفْعَلِنَّ	v
تُسْتَفْعَلاَنِّ	v
تُسْتَفْعَلُنَّ	v
تُسْتَفْعَلْنَانِّ	v
يُسْتَفْعَلَنَّ	v
تُسْتَفْعَلَنَّ	v
يُسْتَفْعَلاَنِّ	v
تُسْتَفْعَلاَنِّ	v
يُسْتَفْعَلُنَّ	v
يُسْتَفْعَلْنَانِّ	v
افْعُوعِلْتُ‏	v
افْعُوعِلْنَا	v
افْعُوعِلْتَ	v
افْعُوعِلْتِ	v
افْعُوعِلْتُمَا	v
افْعُوعِلْتُمْ	v
افْعُوعِلْتُنَّ	v
افْعُوعِلَ	v
افْعُوعِلَتْ	v
افْعُوعِلاَ	v
افْعُوعِلَتَا	v
افْعُوعِلُوا	v
افْعُوعِلْنَ	v
أُفْعَوْعَلُ	v
نُفْعَوْعَلُ	v
تُفْعَوْعَلُ	v
تُفْعَوْعَلِينَ	v
تُفْعَوْعَلاَنِ	v
تُفْعَوْعَلُونَ	v
تُفْعَوْعَلْنَ	v
يُفْعَوْعَلُ	v
تُفْعَوْعَلُ	v
يُفْعَوْعَلاَنِ	v
تُفْعَوْعَلاَنِ	v
يُفْعَوْعَلُونَ	v
يُفْعَوْعَلْنَ	v
أُفْعَوْعَلَ	v
نُفْعَوْعَلَ	v
تُفْعَوْعَلَ	v
تُفْعَوْعَلِي	v
تُفْعَوْعَلاَ	v
تُفْعَوْعَلُوا	v
تُفْعَوْعَلْنَ	v
يُفْعَوْعَلَ	v
تُفْعَوْعَلَ	v
يُفْعَوْعَلاَ	v
تُفْعَوْعَلاَ	v
يُفْعَوْعَلُوا	v
يُفْعَوْعَلْنَ	v
أُفْعَوْعَلْ	v
نُفْعَوْعَلْ	v
تُفْعَوْعَلْ	v
تُفْعَوْعَلِي	v
تُفْعَوْعَلاَ	v
تُفْعَوْعَلُوا	v
تُفْعَوْعَلْنَ	v
يُفْعَوْعَلْ	v
تُفْعَوْعَلْ	v
يُفْعَوْعَلاَ	v
تُفْعَوْعَلاَ	v
يُفْعَوْعَلُوا	v
يُفْعَوْعَلْنَ	v
أُفْعَوْعَلَنَّ	v
نُفْعَوْعَلَنَّ	v
تُفْعَوْعَلَنَّ	v
تُفْعَوْعَلِنَّ	v
تُفْعَوْعَلاَنِّ	v
تُفْعَوْعَلُنَّ	v
تُفْعَوْعَلْنَانِّ	v
يُفْعَوْعَلَنَّ	v
تُفْعَوْعَلَنَّ	v
يُفْعَوْعَلاَنِّ	v
تُفْعَوْعَلاَنِّ	v
يُفْعَوْعَلُنَّ	v
يُفْعَوْعَلْنَانِّ	v
افْعُوِّلْتُ‏	v
افْعُوِّلْنَا	v
افْعُوِّلْتَ	v
افْعُوِّلْتِ	v
افْعُوِّلْتُمَا	v
افْعُوِّلْتُمْ	v
افْعُوِّلْتُنَّ	v
افْعُوِّلَ	v
افْعُوِّلَتْ	v
افْعُوِّلاَ	v
افْعُوِّلَتَا	v
افْعُوِّلُوا	v
افْعُوِّلْنَ	v
أُفْعَوَّلُ	v
نُفْعَوَّلُ	v
تُفْعَوَّلُ	v
تُفْعَوَّلِينَ	v
تُفْعَوَّلاَنِ	v
تُفْعَوَّلُونَ	v
تُفْعَوَّلْنَ	v
يُفْعَوَّلُ	v
تُفْعَوَّلُ	v
يُفْعَوَّلاَنِ	v
تُفْعَوَّلاَنِ	v
يُفْعَوَّلُونَ	v
يُفْعَوَّلْنَ	v
أُفْعَوَّلَ	v
نُفْعَوَّلَ	v
تُفْعَوَّلَ	v
تُفْعَوَّلِي	v
تُفْعَوَّلاَ	v
تُفْعَوَّلُوا	v
تُفْعَوَّلْنَ	v
يُفْعَوَّلَ	v
تُفْعَوَّلَ	v
يُفْعَوَّلاَ	v
تُفْعَوَّلاَ	v
يُفْعَوَّلُوا	v
يُفْعَوَّلْنَ	v
أُفْعَوَّلْ	v
نُفْعَوَّلْ	v
تُفْعَوَّلْ	v
تُفْعَوَّلِي	v
تُفْعَوَّلاَ	v
تُفْعَوَّلُوا	v
تُفْعَوَّلْنَ	v
يُفْعَوَّلْ	v
تُفْعَوَّلْ	v
يُفْعَوَّلاَ	v
تُفْعَوَّلاَ	v
يُفْعَوَّلُوا	v
يُفْعَوَّلْنَ	v
أُفْعَوَّلَنَّ	v
نُفْعَوَّلَنَّ	v
تُفْعَوَّلَنَّ	v
تُفْعَوَّلِنَّ	v
تُفْعَوَّلاَنِّ	v
تُفْعَوَّلُنَّ	v
تُفْعَوَّلْنَانِّ	v
يُفْعَوَّلَنَّ	v
تُفْعَوَّلَنَّ	v
يُفْعَوَّلاَنِّ	v
تُفْعَوَّلاَنِّ	v
يُفْعَوَّلُنَّ	v
يُفْعَوَّلْنَانِّ	v
افْعُولِلْتُ‏	v
افْعُولِلْنَا	v
افْعُولِلْتَ	v
افْعُولِلْتِ	v
افْعُولِلْتُمَا	v
افْعُولِلْتُمْ	v
افْعُولِلْتُنَّ	v
افْعُولَّ	v
افْعُولَّتْ	v
افْعُولاَّ	v
افْعُولَّتَا	v
افْعُولُّوا	v
افْعُولِلْنَ	v
أُفْعَالُّ	v
نُفْعَالُّ	v
تُفْعَالُّ	v
تُفْعَالِّينَ	v
تُفْعَالاَّنِ	v
تُفْعَالُّونَ	v
تُفْعَالِلْنَ	v
يُفْعَالُّ	v
تُفْعَالُّ	v
يُفْعَالاَّنِ	v
تُفْعَالاَّنِ	v
يُفْعَالُّونَ	v
يُفْعَالِلْنَ	v
أُفْعَالَّ	v
نُفْعَالَّ	v
تُفْعَالَّ	v
تُفْعَالِّي	v
تُفْعَالاَّ	v
تُفْعَالُّوا	v
تُفْعَالِلْنَ	v
يُفْعَالَّ	v
تُفْعَالَّ	v
يُفْعَالاَّ	v
تُفْعَالاَّ	v
يُفْعَالُّوا	v
يُفْعَالِلْنَ	v
أُفْعَالَّ	v
نُفْعَالَّ	v
تُفْعَالَّ	v
تُفْعَالِّي	v
تُفْعَالاَّ	v
تُفْعَالُّوا	v
تُفْعَالِلْنَ	v
يُفْعَالَّ	v
تُفْعَالَّ	v
يُفْعَالاَّ	v
تُفْعَالاَّ	v
يُفْعَالُّوا	v
يُفْعَالِلْنَ	v
أُفْعَالَّنَّ	v
نُفْعَالَّنَّ	v
تُفْعَالَّنَّ	v
تُفْعَالِّنَّ	v
تُفْعَالاَّنِّ	v
تُفْعَالُّنَّ	v
تُفْعَالِلْنَانِّ	v
يُفْعَالَّنَّ	v
تُفْعَالَّنَّ	v
يُفْعَالاَّنِّ	v
تُفْعَالاَّنِّ	v
يُفْعَالُّنَّ	v
يُفْعَالِلْنَانِّ	v
فُعْلِلْتُ	v
فُعْلِلْنَا	v
فُعْلِلْتَ	v
فُعْلِلْتِ	v
فُعْلِلْتُمَا	v
فُعْلِلْتُمْ	v
فُعْلِلْتُنَّ	v
فُعْلِلَ	v
فُعْلِلَتْ	v
فُعْلِلاَ	v
فُعْلِلَتَا	v
فُعْلِلُوا	v
فُعْلِلْنَ	v
أُفَعْلَلُ	v
نُفَعْلَلُ	v
تُفَعْلَلُ	v
تُفَعْلَلِينَ	v
تُفَعْلَلاَنِ	v
تُفَعْلَلُونَ	v
تُفَعْلَلْنَ	v
يُفَعْلَلُ	v
تُفَعْلَلُ	v
يُفَعْلَلاَنِ	v
تُفَعْلَلاَنِ	v
يُفَعْلَلُونَ	v
يُفَعْلَلْنَ	v
أُفَعْلَلَ	v
نُفَعْلَلَ	v
تُفَعْلَلَ	v
تُفَعْلَلِي	v
تُفَعْلَلاَ	v
تُفَعْلَلُوا	v
تُفَعْلَلْنَ	v
يُفَعْلَلَ	v
تُفَعْلَلَ	v
يُفَعْلَلاَ	v
تُفَعْلَلاَ	v
يُفَعْلَلُوا	v
يُفَعْلَلْنَ	v
أُفَعْلَلْ	v
نُفَعْلَلْ	v
تُفَعْلَلْ	v
تُفَعْلَلِي	v
تُفَعْلَلاَ	v
تُفَعْلَلُوا	v
تُفَعْلَلْنَ	v
يُفَعْلَلْ	v
تُفَعْلَلْ	v
يُفَعْلَلاَ	v
تُفَعْلَلاَ	v
يُفَعْلَلُوا	v
يُفَعْلَلْنَ	v
أُفَعْلَلَنَّ	v
نُفَعْلَلَنَّ	v
تُفَعْلَلَنَّ	v
تُفَعْلَلِنَّ	v
تُفَعْلَلاَنِّ	v
تُفَعْلَلُنَّ	v
تُفَعْلَلْنَانِّ	v
يُفَعْلَلَنَّ	v
تُفَعْلَلَنَّ	v
يُفَعْلَلاَنِّ	v
تُفَعْلَلاَنِّ	v
يُفَعْلَلُنَّ	v
يُفَعْلَلْنَانِّ	v
تُفُعْلِلْتُ	v
تُفُعْلِلْنَا	v
تُفُعْلِلْتَ	v
تُفُعْلِلْتِ	v
تُفُعْلِلْتُمَا	v
تُفُعْلِلْتُمْ	v
تُفُعْلِلْتُنَّ	v
تُفُعْلِلَ	v
تُفُعْلِلَتْ	v
تُفُعْلِلاَ	v
تُفُعْلِلَتَا	v
تُفُعْلِلُوا	v
تُفُعْلِلْنَ	v
أُتَفَعْلَلُ	v
نُتَفَعْلَلُ	v
تُتَفَعْلَلُ	v
تُتَفَعْلَلِينَ	v
تُتَفَعْلَلاَنِ	v
تُتَفَعْلَلُونَ	v
تُتَفَعْلَلْنَ	v
يُتَفَعْلَلُ	v
تُتَفَعْلَلُ	v
يُتَفَعْلَلاَنِ	v
تُتَفَعْلَلاَنِ	v
يُتَفَعْلَلُونَ	v
يُتَفَعْلَلْنَ	v
أُتَفَعْلَلَ	v
نُتَفَعْلَلَ	v
تُتَفَعْلَلَ	v
تُتَفَعْلَلِي	v
تُتَفَعْلَلاَ	v
تُتَفَعْلَلُوا	v
تُتَفَعْلَلْنَ	v
يُتَفَعْلَلَ	v
تُتَفَعْلَلَ	v
يُتَفَعْلَلاَ	v
تُتَفَعْلَلاَ	v
يُتَفَعْلَلُوا	v
يُتَفَعْلَلْنَ	v
أُتَفَعْلَلْ	v
نُتَفَعْلَلْ	v
تُتَفَعْلَلْ	v
تُتَفَعْلَلِي	v
تُتَفَعْلَلاَ	v
تُتَفَعْلَلُوا	v
تُتَفَعْلَلْنَ	v
يُتَفَعْلَلْ	v
تُتَفَعْلَلْ	v
يُتَفَعْلَلاَ	v
تُتَفَعْلَلاَ	v
يُتَفَعْلَلُوا	v
يُتَفَعْلَلْنَ	v
أُتَفَعْلَلَنَّ	v
نُتَفَعْلَلَنَّ	v
تُتَفَعْلَلَنَّ	v
تُتَفَعْلَلِنَّ	v
تُتَفَعْلَلاَنِّ	v
تُتَفَعْلَلُنَّ	v
تُتَفَعْلَلْنَانِّ	v
يُتَفَعْلَلَنَّ	v
تُتَفَعْلَلَنَّ	v
يُتَفَعْلَلاَنِّ	v
تُتَفَعْلَلاَنِّ	v
يُتَفَعْلَلُنَّ	v
يُتَفَعْلَلْنَانِّ	v
افْعُنْلِلْتُ‏	v
افْعُنْلِلْنَا	v
افْعُنْلِلْتَ	v
افْعُنْلِلْتِ	v
افْعُنْلِلْتُمَا	v
افْعُنْلِلْتُمْ	v
افْعُنْلِلْتُنَّ	v
افْعُنْلِلَ	v
افْعُنْلِلَتْ	v
افْعُنْلِلاَ	v
افْعُنْلِلَتَا	v
افْعُنْلِلُوا	v
افْعُنْلِلْنَ	v
أُفْعَنْلَلُ	v
نُفْعَنْلَلُ	v
تُفْعَنْلَلُ	v
تُفْعَنْلَلِينَ	v
تُفْعَنْلَلاَنِ	v
تُفْعَنْلَلُونَ	v
تُفْعَنْلَلْنَ	v
يُفْعَنْلَلُ	v
تُفْعَنْلَلُ	v
يُفْعَنْلَلاَنِ	v
