word	root	lemma
آب	جذر	آب
آبائي	جذر	آباء
آبار	جذر	آبار
آثار	جذر	آثار
آخر	جذر	آخر
آذار	جذر	آذار
آراء	جذر	آراء
آسيا	جذر	آسيا;آس
آل	جذر	آل;آلى
آلاف	جذر	آلاف
آمال	جذر	آمال
آمنة	جذر	آمن
آن	جذر	آن
آنذاك	جذر	آنذاك
أأحدثكم	جذر	حدث;أحدث
أب	جذر	أب;آب
أبتاه	جذر	بت;أبى;أبا
أبتكر	جذر	ابتكر
أبجديتي	جذر	جدي;جد;جدة;أبجدي
أبحاث	جذر	أبحاث;بحاث
أبحث	جذر	بحث
أبدا	جذر	بدا;أبد;أبدا
أبدع	جذر	أبدع;بدع
أبدية	جذر	أبدي;أبد;دية
أبرز	جذر	أبرز;برز;رز
أبريل	جذر	أبريل
أبطال	جذر	أبطال
أبعد	جذر	أبعد;عد;بعد
أبعدته	جذر	عد;أبعد;عدة;بعد
أبناء	جذر	بناء;أبناء
أبو	جذر	أبو;أبوي
أبوح	جذر	باح;بوح
أبوها	جذر	أبو
أبي	جذر	بي;أبى;أبي;أب;أبا
أبيات	جذر	أبي;أبيات;أب
أبيض	جذر	باض;أبيض;بيض;ابيض
أتأمل	جذر	أمل;تأمل
أتابع	جذر	تابع
أتباعه	جذر	تباع
أتحدث	جذر	حدث;تحدث;أحدث
أتذكر	جذر	اذكر;ذكر;تذكر
أتساءل	جذر	ساءل;تساءل
أتعامل	جذر	تعامل;عامل
أتمرد	جذر	تمرد;مرد
أتمنى	جذر	تمنى;منى
أثار	جذر	ثار;أثار
أثارته	جذر	أثار
أثبت	جذر	ثاب;ثبت;أثبت;أثاب
أثبتوا	جذر	ثبت;أثبت
أثر	جذر	ثار;أثرى;وثر;أثر;أثار;ثري;ثرا
أثرت	جذر	ثار;أثر;ثرا;أثار;أثرى
أثرها	جذر	ثرا;وثر;أثر;أثار
أثقل	جذر	أثقل;ثقل
أثناء	جذر	أثناء;ثناء
أثير	جذر	أثير;أثار
أجراه	جذر	أجرى;أجر;جرى;جر
أجري	جذر	أجرة;جر;جرة;جري;أجرى;أجر;جرى
أجزاء	جذر	جزاء;أجزاء
أجزم	جذر	جزم
أجسام	جذر	أجسام
أجل	جذر	جل;جلا;أجل;جلي;جلى;أجلى;جال;أجال
أجلس	جذر	جلس;أجلس
أجله	جذر	جل;جلا;أجل;جلى;أجلى;جال;أجال
أجمع	جذر	جمع;أجمع
أجنبي	جذر	جنبة;جنب;أجنبي;أجنب
أجنبية	جذر	جنب;أجنبي;جنبة
أجهزة	جذر	أجهزة;جهزة
أجواء	جذر	أجواء;جواء
أجيد	جذر	أجاد;أجيد;جاد;جيد
أحاط	جذر	أحاط;حاط
أحببت	جذر	حب;حبب;أحب
أحببته	جذر	حبب;أحب
أحبك	جذر	حب;حبا;أحبك;حبك;أحب
أحبه	جذر	حبا;حب;أحب
أحترم	جذر	احترم
أحتسي	جذر	احتسى
أحجار	جذر	أحجار;حجار
أحد	جذر	أحد;حد;حاد;حدي;وحد;حدا
أحدا	جذر	أحد;حد;حدا
أحداث	جذر	حداث;أحداث
أحدهم	جذر	أحد;حد;وحد;حدا
أحذية	جذر	أحذية
أحسن	جذر	حسن;أحس;حس;أحسن
أحظى	جذر	أحظى;حظي
أحكام	جذر	حكام;أحكام
أحمد	جذر	حمد
أحمر	جذر	احمر;حمر;أحمر
أحيا	جذر	أحيا;حيا;حيي;حي
أحيانا	جذر	أحيا;حيا;حي
أخاه	جذر	أخا
أخبار	جذر	أخبار;خبار
أخبارا	جذر	خبار
أخبر	جذر	أخبر;خبر
أخذ	جذر	خذ;أخذ
أخرى	جذر	أخرى
أخضع	جذر	أخضع;خضع
أخلاقية	جذر	خلاق;أخلاق
أخيرا	جذر	أخير;خير;خار
أخيه	جذر	وخى;أخي
أداء	جذر	أداء;داء
أداة	جذر	أداة
أدار	جذر	دارى;أدار;دار
أدافع	جذر	دافع
أدرجت	جذر	أدرج;درج
أدري	جذر	أدر;أدرى;در;دري;درة;درى
أدمنت	جذر	دمن;أدمن
أدنى	جذر	دني;أدنى;دنى
أدهش	جذر	دهش;أدهش
أدوات	جذر	أدوات;دو
أدى	جذر	أدى
أذكر	جذر	اذكر;ذكر
أذكى	جذر	ذكي;ذكى;ذكا;أذكى
أذهان	جذر	أذهان
أراد	جذر	راد;أراد
أراضي	جذر	راضى
أرباحا	جذر	رباح
أربع	جذر	ربع;أربع
أربعة	جذر	أربع;ربع;ربعة;أربعة
أردت	جذر	راد;أردى;ردى;رد;أراد
أرسله	جذر	أرسل;رسل
أرض	جذر	رضى;رضي;رض;راض;رضا;أرضى;أرض
أرضية	جذر	رضى;رضي;رض;أرضي;أرضة;أرض
أركان	جذر	أرك;أركان
أرواح	جذر	رواح;أرواح
أروع	جذر	روع;أروع;راع
أرى	جذر	أرى;رأى;راءى
أزعم	جذر	زعم
أزمات	جذر	زم;أزمة
أس	جذر	أس;أسى
أساء	جذر	ساء;أساء
أسابيع	جذر	أسابيع
أساتذة	جذر	أساتذة
أساس	جذر	أساس
أساسي	جذر	أساس;ساسة;أساسي
أساسيات	جذر	أساس;أساسي
أساطير	جذر	أساطير
أسباب	جذر	سباب;أسباب
أسبوع	جذر	أسبوع;سبوع
أستاذ	جذر	أستاذ
أستراليا	جذر	أسترالي;أستراليا
أستطيع	جذر	استطاع;أطاع;طاع
أستعيد	جذر	استعاد;أعاد;عيد
أستمع	جذر	استمع;مع
أسرار	جذر	سرار;أسرار
أسرته	جذر	أسرة;سار;سرا;سر;سرة;أسرى;سرى;أسر
أسرهم	جذر	سار;أسر;سر;أسرى;سرى;سرا
أسطورية	جذر	سطور;أسطورة
أسطول	جذر	أسطول;سطول
أسلحة	جذر	سلح;أسلحة
أسلوب	جذر	أسلوب
أسماء	جذر	سماء;أسماء
أسمح	جذر	سمح
أسنانه	جذر	سنان;أسنان
أسهل	جذر	أسهل;سهل
أسهم	جذر	أس;سهم;أسهم;أسى
أسهمها	جذر	أسهم;سهم
أسوارها	جذر	سوار;أسوار
أسود	جذر	أسود;اسود;ساد;سود
أشار	جذر	شار;أشار;شاري;شارى
أشبه	جذر	شبه;شب;أشبه
أشخاص	جذر	شخاص;أشخاص
أشد	جذر	شد;أشد;شدا;أشاد;شاد
أشده	جذر	أشد;شدا;شاد;شد;أشاد;شده
أشرب	جذر	شرب;أشرب
أشعل	جذر	شعل;أشعل
أشكال	جذر	أشكال;شكال
أشمل	جذر	شمل;أشمل
أشهر	جذر	شهر;أشهر
أشياء	جذر	أشياء
أشير	جذر	شار;أشار
أصابعهم	جذر	صابع;أصابع
أصبح	جذر	صبح;أصبح
أصحاب	جذر	أصحاب;صحاب
أصر	جذر	صار;صر;أصر
أصغر	جذر	صغر;أصغر
أصل	جذر	وصل;صال;أصل;صلي;صل;صلى;أصلى
أصلا	جذر	صل;أصلا;أصل
أصلح	جذر	أصلح;صلح
أصناف	جذر	أصناف
أصوات	جذر	أصوات;صوة
أصيب	جذر	صاب;أصاب
أضاع	جذر	أضاع;ضاع
أضحت	جذر	ضحا;أضحى;ضحى
أضف	جذر	أضفى;ضفا;أضاف;ضاف;ضف
أضواء	جذر	أضواء
أطاح	جذر	طاح;أطاح
أطفأ	جذر	طفئ;أطفأ
أطفال	جذر	طفال;أطفال
أطيقك	جذر	أطاق
أظفارها	جذر	ظفار;أظفار
أظن	جذر	ظن
أظهره	جذر	أظهر;ظهر
أعادت	جذر	عاد;عادى;أعاد
أعتبر	جذر	اعتبر
أعترف	جذر	اعترف
أعتقد	جذر	اعتقد
أعداء	جذر	أعداء;عداء
أعداد	جذر	عداد;أعداد
أعدم	جذر	عدم;أعدم
أعراق	جذر	أعراق;عراق
أعرف	جذر	عرف;أعرف
أعصابه	جذر	عصاب;أعصاب
أعضاء	جذر	أعضاء
أعطيت	جذر	عطا;أعطى;عطى
أعطيناه	جذر	أعطى;عطى
أعظم	جذر	أعظم;عظم
أعقد	جذر	أعقد;عقد
أعلاه	جذر	أعلى;علا;علي;عل;على
أعلم	جذر	علم;أعلم
أعلن	جذر	عال;أعال;علن;عل;أعلى;أعلن
أعلنت	جذر	علن;أعلن
أعلى	جذر	أعلى;علي;علا;على
أعمال	جذر	أعمال;عمال
أعمدة	جذر	عمدة;أعمدة;عمد
أعود	جذر	عاد;عود
أعيش	جذر	عاش;عيش;أعاش
أعين	جذر	عان;عي;عين;أعان;وعى;أعين;أعيا
أغسطس	جذر	أغسطس
أغلب	جذر	أغلب;غلب
أغلبية	جذر	أغلبية;أغلب;غلب;غلبة
أغلفة	جذر	غلفة;غلف
أغنى	جذر	أغنى;غني;غنى
أفادت	جذر	فادى;أفاد
أفراد	جذر	راد;فراد;أفراد
أفريدو	جذر	فريد
أفريقي	جذر	ريق;فريق
أفضل	جذر	فضل;أفضل;ضل
أفعال	جذر	عال;فعال;أفعال;عالي
أفكار	جذر	كار;أفكار
أفلام	جذر	أفلام;لام
أفنى	جذر	فني
أقاتل	جذر	قاتل
أقارن	جذر	قار;قارن
أقاليم	جذر	أقاليم
أقام	جذر	أقام;قام
أقر	جذر	قرا;قرى;قار;أقر;قر;وقر
أقرأ	جذر	قرأ;أقرأ
أقراص	جذر	أقراص;قراص
أقرب	جذر	أقرب;قرب
أقست	جذر	قسى;قاس;قسا;أقسى;قس
أقصي	جذر	قصي;أقصى;قصة;قصا;قص
أقطن	جذر	قط;قطن
أقفل	جذر	أقفل;قفل
أقل	جذر	قل;قلا;قال;أقل;قلى;أقال
أقواما	جذر	قوام
أقول	جذر	أقول;قال;قول
أقوى	جذر	قوى;قوي;أقوى
أقيس	جذر	قاس
أقيل	جذر	أقال;قيل;قال
أقيمت	جذر	قيم;أقام;قام
أكاديمي	جذر	أكاديمي
أكاديميات	جذر	أكاديمي;أكاديمية
أكبر	جذر	كبر;بر;أكبر
أكتوبر	جذر	أكتوبر
أكثر	جذر	أكثر;كثر
أكد	جذر	كد;كاد;أكد;كدا;وكد;أكدى
أكدت	جذر	أكد;أكدى;كد;كدا;كاد
أكرا	جذر	أكر;كر;كرا
أكره	جذر	أكرى;كرى;وكر;أكر;كرا;كره;أكره;كر
أكرهك	جذر	كره;أكره
أكسبته	جذر	سبة;أكسب;كسب;سب;كسبة
أكن	جذر	كنى;أكن;وكن;كن;كان
أكون	جذر	ون;كون;كان
ألعاب	جذر	ألعاب;لعاب
ألف	جذر	لف;لاف;ألف;ولف;ألفى
ألقاب	جذر	قاب;ألقاب
ألمت	جذر	لمى;لم;ألام;ألم;لام
ألوان	جذر	ألوان;واني
أم	جذر	أم
أما	جذر	أما;أم
أمازون	جذر	ماز
أمام	جذر	أمام
أمانا	جذر	أمان;أم
أمة	جذر	أم;أمة
أمتلك	جذر	امتلك
أمته	جذر	مت;مته;أمة;مات;أم;أمات
أمثالي	جذر	مثالي;مثال;أمثال
أمثلة	جذر	مثل;أمثل;أمثلة
أمر	جذر	مار;مر;أمر
أمريكا	جذر	أمريكا
أمريكي	جذر	أمريكي
أمسك	جذر	أمسك;أمسى;ماس;مسك;مس;أمس;مسى
أمسكه	جذر	أمسك;مسك
أمقت	جذر	ماق;مقت
أمم	جذر	أمم
أمنيا	جذر	منى;مني;من;أمن
أمنية	جذر	أمن;منة;أمنية;من;منى;مني;منية
أمها	جذر	مها;أم
أموال	جذر	أموال;موالي;موال
أموالا	جذر	موال
أموت	جذر	مات;موت;أمو
أمورا	جذر	مار
أمولا	جذر	مول
أمير	جذر	مار;أمير
أن	جذر	أن
أنا	جذر	أنا;أن
أنابيب	جذر	أنابيب
أنت	جذر	نتا;نت;أنت;أن;أنى
أنتجت	جذر	أنتج;نتج
أنحاء	جذر	أنحاء
أندية	جذر	أندية;أندى;ندى;ندي;ند
أنسى	جذر	نسى;نسي;أنسى
أنشئت	جذر	نشأ;أنشأ
أنصاره	جذر	أنصار;صار;نصار
أنصفوا	جذر	أنصف;نصف
أنظار	جذر	أنظار;نظار
أنظمة	جذر	نظم;أنظمة;نظمة
أنفاسهم	جذر	نفاس;أنفاس
أنفسهم	جذر	نفس;أنفس
أنفه	جذر	نف;نفى;ناف;أنف
أنقذوا	جذر	أنقذ;نقذ
أنقرة	جذر	أنقرة;نقر;نقرة
أنكر	جذر	نكر;كر;وكر;أنكر
أنني	جذر	ونى;أن
أنه	جذر	أن;أنهى;نهو;نهى;نهي;ناه
أنهوا	جذر	أنهى;نهو;نهى;نهي
أني	جذر	ونى;أنة
أهالي	جذر	هال;هالة
أهتف	جذر	هتف
أهداف	جذر	أهداف;هداف
أهرب	جذر	أهرب;هرب
أهل	جذر	هال;وهل;هل;أهل
أهلها	جذر	هال;هل;أهل
أهلية	جذر	أهلي;هل;أهلية;أهل;أهلة
أهم	جذر	هام;هم;وهم;أهم;همى
أهمها	جذر	هم;وهم;أهم
أهمية	جذر	أهمية;هم;همة
أهواء	جذر	هواء;أهواء
أو	جذر	أوى;أو
أوج	جذر	أوج;وج
أوراق	جذر	أوراق;وراق;راقي;راق
أوروبا	جذر	روب;أوروبا
أوروبية	جذر	روب;أوروبي;روبة
أوروبيتان	جذر	أوروبي;روب
أوساط	جذر	وساط;ساط;أوساط
أوسع	جذر	وسع;أوسع
أوصافه	جذر	صاف;أوصاف;وصاف
أوصله	جذر	وصل;صل;أوصل
أوصى	جذر	وصى;أوصى
أوضح	جذر	وضح;أوضح
أوقفت	جذر	قاف;قف;أوقف;وقف;قفا;قفى
أوقفته	جذر	وقفة;قاف;أوقف;وقف;قفا;قفة;قفى
أوكرانيا	جذر	رانيا
أول	جذر	ألا;أول;آلى;أولى;ولي;ولى
أولئك	جذر	أولئك
أولادك	جذر	أولاد;لاد
أولى	جذر	أولى;ألا;ولي;ولى
أويحيى	جذر	يحيى
أي	جذر	أي
أيار	جذر	أيار
أيام	جذر	أيام
أية	جذر	أية
أيدي	جذر	يدى;يدي;يد;أيد;ودى
أيديكم	جذر	يدى;يد;أيدي;أيد;ودى
أيضا	جذر	أيضا
أيقونات	جذر	أيقونة
أيلول	جذر	أيلول
أين	جذر	أين
إبداع	جذر	إبداع
إبراز	جذر	إبراز
إتمام	جذر	إتمام
إثارة	جذر	إثار;إثارة
إثر	جذر	إثر
إجابة	جذر	إجابة
إجراء	جذر	إجراء
إحباط	جذر	إحباط
إحداها	جذر	إحدى
إحراز	جذر	إحراز
إحساسه	جذر	إحساس
إخراج	جذر	إخراج
إخطارات	جذر	إخطار
إدارة	جذر	إدارة
إدانة	جذر	إدانة
إدراج	جذر	إدراج
إذ	جذر	إذ
إذا	جذر	إذا
إذن	جذر	إذن
إرادتي	جذر	إرادة
إرث	جذر	إرث
إرسال	جذر	إرسال
إزاحة	جذر	إزاحة
إسلامي	جذر	إسلامي;إسلام
إسناد	جذر	إسناد
إشارة	جذر	إشارة
إشراف	جذر	إشراف
إشراق	جذر	إشراق
إشعال	جذر	إشعال
إشهار	جذر	إشهار
إصابة	جذر	إصابة
إطار	جذر	إطار
إعادة	جذر	إعادة
إعدامه	جذر	إعدام
إعطاءها	جذر	إعطاء
إعلام	جذر	إعلام
إعلان	جذر	إعلان
إغراق	جذر	إغراق
إغلاق	جذر	إغلاق
إفريقي	جذر	إفريقي
إفريقيا	جذر	إفريقيا;إفريقي
إفشائهم	جذر	إفشاء
إقالة	جذر	إقالة
إقامة	جذر	إقامة
إقصاؤها	جذر	إقصاء
إقناعها	جذر	إقناع
إلا	جذر	إلا
إلحاح	جذر	إلحاح
إلكتروني	جذر	إلكتروني;إلكترون
إلى	جذر	إلى
إليه	جذر	إلي;إلى
إمكانية	جذر	إمكان;إمكانية
إن	جذر	إن
إنتاج	جذر	إنتاج
إنجازا	جذر	إنجاز
إنشاء	جذر	إنشاء
إنقاذه	جذر	إنقاذ
إنما	جذر	إنما
إنهاء	جذر	إنهاء
إني	جذر	إني
إياها	جذر	إياها
إيصال	جذر	إيصال
ابتداء	جذر	ابتداء
ابتسم	جذر	ابتسم
ابن	جذر	بنى;ابن
ابنة	جذر	ابن;ابنة
اتجاهات	جذر	اتجاه
اتحاد	جذر	اتحاد
اتخذ	جذر	اتخذ
اتسعت	جذر	اتسع
اتسم	جذر	اتسم
اتهام	جذر	اتهام
اثنين	جذر	ثنى
اجتاحت	جذر	اجتاح
اجتماع	جذر	اجتماع
اجتماعية	جذر	اجتماع;اجتماعي
احتج	جذر	احتاج;احتج
احتجاجا	جذر	احتجاج
احترامها	جذر	احترام
احتضنت	جذر	احتضن
احتفاء	جذر	احتفاء
احتلال	جذر	احتلال
احتمال	جذر	احتمال
احتياجاته	جذر	احتياج
احتياطيا	جذر	احتياط;احتياطي
اختار	جذر	اختار
اختيار	جذر	اختيار
ارتفاع	جذر	ارتفاع
ارتكب	جذر	ارتكب
استبداد	جذر	استبداد
استبسل	جذر	استبسل
استبعاد	جذر	استبعاد
استثمارات	جذر	استثمار
استثناء	جذر	استثناء
استثنائيا	جذر	استثناء;استثنائي
استخدام	جذر	استخدام
استخدم	جذر	استخدم
استخف	جذر	استخفى;استخف
استدراجه	جذر	استدراج
استدعاء	جذر	استدعاء
استدعت	جذر	استدعى
استصدار	جذر	استصدار
استطاع	جذر	استطاع
استطاعتهم	جذر	استطاع;استطاعة
استعمال	جذر	استعمال
استغرق	جذر	استغرق
استغلال	جذر	استغلال
استغلتها	جذر	استغلى;استغل
استفادت	جذر	استفاد
استفتاء	جذر	استفتاء
استقبال	جذر	استقبال
استقبلوا	جذر	استقبل
استقصائيا	جذر	استقصاء
استقل	جذر	استقال;استقل
استقلالا	جذر	استقلال
استلهم	جذر	استل;استلهم
استلهمها	جذر	استلهم
استمر	جذر	استمر
استمرار	جذر	استمرار
استنفار	جذر	استنفار
استهداف	جذر	استهداف
استهدف	جذر	استهدف
استهلاكا	جذر	استهلاك
استيراد	جذر	استيراد
استيعاب	جذر	استيعاب
استيقظت	جذر	استيقظ
اسم	جذر	سما;اسم
اشتبك	جذر	اشتبك
اشتداد	جذر	اشتداد
اشتعلت	جذر	اشتعل
اشتهرت	جذر	اشتهر
اصطلح	جذر	اصطلح
اضطر	جذر	اضطر
اضطرابات	جذر	اضطراب
اعتبار	جذر	اعتبار
اعتداء	جذر	اعتداء
اعتراضه	جذر	اعتراض
اعترافا	جذر	اعتراف
اعتزل	جذر	اعتزل
اعتقاد	جذر	اعتقاد
اغتصب	جذر	اغتصب
اغتيال	جذر	اغتيال
افتتاحية	جذر	افتتاح;افتتاحية
افتتحتها	جذر	افتتح
اقتباسه	جذر	اقتباس
اقتحام	جذر	اقتحام
اقتحم	جذر	اقتحم
اقتراب	جذر	اقتراب
اقترب	جذر	اقترب
اقترح	جذر	اقترح
اقترفت	جذر	اقترف
اقتصادية	جذر	اقتصادي;اقتصاد
اقدم	جذر	قدم
اقرأ	جذر	قرأ
اكتئاب	جذر	اكتئاب
اكتسبها	جذر	اكتسب
اكتشف	جذر	اكتشف
ال	جذر	ال
الآثمة	جذر	آثم
الآسيوي	جذر	آسيوي
الآفاق	جذر	آفاق
الآلة	جذر	آلة
الآن	جذر	الآن
الأئمة	جذر	أئمة
الأب	جذر	أب
الأبدي	جذر	أبدي;أبد
الأبرز	جذر	أبرز
الأبناء	جذر	أبناء
الأبواب	جذر	أبواب
الأبوين	جذر	أبوي
الأبيض	جذر	أبيض
الأثرياء	جذر	أثرياء
الأثناء	جذر	أثناء
الأجانب	جذر	أجانب
الأجنبي	جذر	أجنبي
الأجهزة	جذر	أجهزة
الأجيال	جذر	أجيال
الأحداث	جذر	أحداث
الأحزاب	جذر	أحزاب
الأحسن	جذر	أحسن
الأحفاد	جذر	أحفاد
الأحمر	جذر	أحمر
الأخبار	جذر	أخبار
الأخذ	جذر	أخذ
الأخضر	جذر	أخضر
الأخطاء	جذر	أخطاء
الأخلاق	جذر	أخلاق
الأخير	جذر	أخير
الأداء	جذر	أداء
الأدلة	جذر	أدلة
الأذرع	جذر	أذرع
الأراضي	جذر	أراضي
الأرباح	جذر	أرباح
الأربعاء	جذر	أربعاء
الأردني	جذر	أردني;أردن
الأرض	جذر	أرض
الأرقام	جذر	أرقام
الأزرق	جذر	أزرق
الأزمة	جذر	أزمة
الأساسيين	جذر	أساسي
الأسبوع	جذر	أسبوع
الأسد	جذر	أسد
الأسر	جذر	أسر
الأسرع	جذر	أسرع
الأسطوري	جذر	أسطورة
الأسف	جذر	أسف
الأسواق	جذر	أسواق
الأسود	جذر	أسود
الأشاوس	جذر	أشاوس
الأشخاص	جذر	أشخاص
الأشداء	جذر	أشداء
الأشكال	جذر	أشكال
الأشهر	جذر	أشهر
الأشواط	جذر	أشواط
الأصل	جذر	أصل
الأصوات	جذر	أصوات
الأصول	جذر	أصول
الأطراف	جذر	أطراف
الأطفال	جذر	أطفال
الأعداد	جذر	أعداد
الأعراض	جذر	أعراض
الأعراق	جذر	أعراق
الأعظم	جذر	أعظم
الأعمال	جذر	أعمال
الأعياد	جذر	أعياد
الأفضل	جذر	أفضل
الأفكار	جذر	أفكار
الأفلام	جذر	أفلام
الأقطار	جذر	أقطار
الأقل	جذر	أقل
الأقوياء	جذر	أقوياء
الأكبر	جذر	أكبر
الأكثر	جذر	أكثر
الأكل	جذر	أكل
الألعاب	جذر	ألعاب
الألقاب	جذر	ألقاب
الأم	جذر	لأم;أم
الأماكن	جذر	لأم;أماكن
الأمان	جذر	أمان;لأم;أم
الأمثل	جذر	أمثل
الأمثلة	جذر	أمثل;أمثلة
الأمجد	جذر	أمجد
الأمر	جذر	أمر
الأمن	جذر	أمن;لأم
الأمنية	جذر	أمنية;أمن
الأموال	جذر	أموال
الأمير	جذر	أمير
الأمين	جذر	أمين;أم
الأندية	جذر	أندية;أندى
الأنصار	جذر	أنصار
الأنظار	جذر	أنظار
الأنظمة	جذر	أنظمة
الأنوف	جذر	أنوف
الأنيق	جذر	أنيق
الأهداف	جذر	أهداف
الأهلي	جذر	أهلي;أهل;أهلة
الأهلية	جذر	أهلي;أهلية;أهل;أهلة
الأهمية	جذر	أهمية
الأوبئة	جذر	أوبئة
الأوروبي	جذر	أوروبي
الأوساط	جذر	أوساط
الأوصاف	جذر	أوصاف
الأوضاع	جذر	أوضاع
الأول	جذر	أول
الأولى	جذر	أولى
الأولياء	جذر	أولياء
الأولية	جذر	أولى;أولي;أول
الأيديولوجية	جذر	أيديولوجي
الإبقاء	جذر	إبقاء
الإخبارية	جذر	إخبار
الإخوة	جذر	إخوة
الإسلام	جذر	إسلام
الإضافية	جذر	إضافي;إضافة
الإطاحة	جذر	إطاحة
الإطلاق	جذر	إطلاق
الإطناب	جذر	إطناب
الإعارات	جذر	إعارة
الإعجاب	جذر	إعجاب
الإغاثة	جذر	إغاثة
الإمام	جذر	إمام
الإمبراطوريات	جذر	إمبراطور;إمبراطوري
الإنتاجية	جذر	إنتاجي;إنتاج
الإنسان	جذر	إنس;إنسان
الإنساني	جذر	إنساني;إنسان
الإيجابية	جذر	إيجابي;إيجاب
الإيحاء	جذر	إيحاء
الابتدائية	جذر	ابتداء;ابتدائي
الابتكار	جذر	ابتكار
الابن	جذر	ابن
الاتصال	جذر	اتصال
الاحترافي	جذر	احتراف
الاحتكام	جذر	احتكام
الاختصار	جذر	اختصار
الاختطافات	جذر	اختطاف
الاختلافات	جذر	اختلاف
الادعاءات	جذر	ادعاء
الاستخبارات	جذر	استخبار
الاستعراضية	جذر	استعراض
الاستعمار	جذر	استعمار
الاستفادة	جذر	استفادة
الاستيقاظ	جذر	استيقاظ
الاشتباكات	جذر	اشتباك
الاصطفاف	جذر	اصطفاف
الاطلاع	جذر	اطلاع
الاعتقال	جذر	اعتقال
الاعتماد	جذر	اعتماد
الاغتصاب	جذر	اغتصاب
الافتخار	جذر	افتخار
الافتراضي	جذر	افتراض
الاقتصاد	جذر	اقتصاد
الالتحاق	جذر	التحاق
الامتحان	جذر	امتحان
الانتباه	جذر	انتباه
الانتحار	جذر	انتحار
الانتخابات	جذر	انتخاب
