word	root	stem	root_kb
الشبكية	شبك	الشبكية	شبك
الحاسوبي	حسب	الحاسوبي	حسب
إسمعي	سمع	إسمعي	سمع
والتقنيات	تقن	والتقنيات	تقن
والناقل	نقل	والناقل	نقل
والساجدتان	سجد	والساجدتان	سجد
متأخرتان	ءخر	متأخرتان	ءخر
السماعتان	سمع	السماعتان	سمع
لتأهيل	ءهل	لتأهيل	ءهل
الخفيفية	خفف	الخفيفية	خفف
مختصون	خصص	مختصون	خصص
مذكرة	ذكر	مذكرة	ذكر
اتخاذ	ءخذ	اتخاذ	ءخذ
إعلم	علم	إعلم	علم
إلهامهن	لهم	إلهامهن	لهم
أذواقهن	ذوق	أذواقهن	ذوق
والصناعية	صنع	والصناعية	صنع
الضجة	ضجج	الضجة	ضجج
بمحدودية	حدد	بمحدودية	حدد
الضياع	ضيع	الضياع	ضيع
المسائلات	سءل	المسائلات	سءل
احتجزتهن	حجز	احتجزتهن	حجز
تفاحه	تفح	تفاحه	تفح
مشتري	شري	مشتري	شري
الصحافية	صحف	الصحافية	صحف
الأخوة	خوي	الأخوة	خوي
إسمعا	سمع	إسمعا	سمع
حفركن	حفر	حفركن	حفر
مصتحبين	صحب	مصتحبين	صحب
والتدريس	درس	والتدريس	درس
معزز	عزز	معزز	عزز
اخاء	ءخو	اخاء	ءخو
والمحرك	حرك	والمحرك	حرك
إفتح	فتح	إفتح	فتح
المتوقعة	وقع	المتوقعة	وقع
المفتشين	فتش	المفتشين	فتش
والترتيب	رتب	والترتيب	رتب
والتدريب	درب	والتدريب	درب
متحسنة	حسن	متحسنة	حسن
بالتزامن	زمن	بالتزامن	زمن
للسلطة	سلط	للسلطة	سلط
أجهزتهن	جهز	أجهزتهن	جهز
احتفالية	حفل	احتفالية	حفل
الشرعيان	شرع	الشرعيان	شرع
للسيارات	سير	للسيارات	سير
الذماء	ذمي	الذماء	ذمي
إنخراط	خرط	إنخراط	خرط
دقوان	دقو	دقوان	دقو
سيستمرون	سمر	سيستمرون	سمر
الدائرة	دور	الدائرة	دور
والإستثمار	ثمر	والإستثمار	ثمر
والحفار	حفر	والحفار	حفر
واستحقاقاتهن	حقق	واستحقاقاتهن	حقق
فاراد	رود	فاراد	رود
والمتمثل	مثل	والمتمثل	مثل
ممول	مول	ممول	مول
والكاميرا	كمر	والكاميرا	كمر
يذكرنهن	ذكر	يذكرنهن	ذكر
المفرج	فرج	المفرج	فرج
فاعليتها	فعل	فاعليتها	فعل
والسماعتين	سمع	والسماعتين	سمع
التجارب	جرب	التجارب	جرب
التجارة	تجر	التجارة	تجر
السياسيات	سوس;سود	السياسيات	سوس;سود
كراهيتهن	كره	كراهيتهن	كره
سعالهن	سعل	سعالهن	سعل
يرسلونهن	رسل	يرسلونهن	رسل
والسعودية	سعد	والسعودية	سعد
المشغلون	شغل	المشغلون	شغل
والراحل	رحل	والراحل	رحل
واجتماعية	جمع	واجتماعية	جمع
المنشقين	نشق	المنشقين	نشق
اطباء	طب	اطباء	طب
تصممان	صمم	تصممان	صمم
تسأللان	سءل	تسأللان	سءل
الساسة	سود	الساسة	سود
المتعددة	عدد	المتعددة	عدد
خلاق	خلق	خلاق	خلق
والمجرات	جري	والمجرات	جري
الناطقين	نطق	الناطقين	نطق
والمحركين	حرك	والمحركين	حرك
بالشراكة	شرك	بالشراكة	شرك
وتأهيل	ءهل	وتأهيل	ءهل
وبالتأكيد	ءكد	وبالتأكيد	ءكد
إستكفاه	كفي	إستكفاه	كفي
التوترات	وتر	التوترات	وتر
بالتنبيه	نبه	بالتنبيه	نبه
الراجعات	رجع	الراجعات	رجع
المدونون	دون	المدونون	دون
تجيهزات	جهز	تجيهزات	جهز
ميغاهرتز		ميغاهرتز	
نمامون	نمم	نمامون	نمم
إستراح	سرح	إستراح	سرح
الصفقتين	صفق	الصفقتين	صفق
والتشابك	شبك	والتشابك	شبك
إستخدامهم	خدم	إستخدامهم	خدم
بالطريقة	طرق	بالطريقة	طرق
الانتقامية	نقم	الانتقامية	نقم
إنقسم	قسم	إنقسم	قسم
الدلالة	دلل	الدلالة	دلل
وقانونية	قنن	وقانونية	قنن
تحدثت	حدث	تحدثت	حدث
والتفاصيل	فصل	والتفاصيل	فصل
إستقامة	قوم	إستقامة	قوم
الشخصية	شخص	الشخصية	شخص
خواطرهن	خطر	خواطرهن	خطر
والادعاء	دعي	والادعاء	دعي
إستجوابات	جوب	إستجوابات	جوب
بالسياحة	سيح	بالسياحة	سيح
والتجني	جني	والتجني	جني
إنعكاسات	عكس	إنعكاسات	عكس
والتوثيق	وثق	والتوثيق	وثق
بالاضافه	ضيف	بالاضافه	ضيف
أماناتهن	ءمن	أماناتهن	ءمن
بالثامنة	ثمن	بالثامنة	ثمن
والتعبيرات	عبر	والتعبيرات	عبر
إكتساب	كسب	إكتساب	كسب
والنجاحات	نجح	والنجاحات	نجح
متردية	ردي	متردية	ردي
الشجعان	شجع	الشجعان	شجع
امان	ءمن	امان	ءمن
النحنحة	نحح	النحنحة	نحح
والعاطفي	عطف	والعاطفي	عطف
الساجدتين	سجد	الساجدتين	سجد
والإحتكاريون	حكر	والإحتكاريون	حكر
اوقات	وقت	اوقات	وقت
الساجدتان	سجد	الساجدتان	سجد
إيضاحات	وضح	إيضاحات	وضح
الإنطباعية	طبع	الإنطباعية	طبع
والتصنيع	صنع	والتصنيع	صنع
مداخلتهن	دخل	مداخلتهن	دخل
للموزعين	وزع	للموزعين	وزع
السكوت	سكت	السكوت	سكت
صباغتهن	صبغ	صباغتهن	صبغ
بالتفاؤل	فءل	بالتفاؤل	فءل
علوهن	علي	علوهن	علي
والعالمية	علم	والعالمية	علم
الداماء	دم	الداماء	دم
اغرنداء	غرند	اغرنداء	غرند
سترجعوهم	رجع	سترجعوهم	رجع
والاستيطانية	وطن	والاستيطانية	وطن
والمستنفذة	نفذ	والمستنفذة	نفذ
وللمعلوماتية	علم	وللمعلوماتية	علم
المعرفية	عرف	المعرفية	عرف
مستقلون	قلل	مستقلون	قلل
إعلمن	علم	إعلمن	علم
موفع	يفع	موفع	يفع
إعلمي	علم	إعلمي	علم
الساجدون	سجد	الساجدون	سجد
الصباغات	صبغ	الصباغات	صبغ
التنسيقات	نسق	التنسيقات	نسق
إفتتحن	فتح	إفتتحن	فتح
وسيلتهن	سيل	وسيلتهن	سيل
والراجعات	رجع	والراجعات	رجع
والتداول	دول	والتداول	دول
إمنعهن	منع	إمنعهن	منع
إقتصادياتهن	قصد	إقتصادياتهن	قصد
إيجاد	وجد	إيجاد	وجد
الجامعية	جمع	الجامعية	جمع
المؤسسات	ءسس	المؤسسات	ءسس
المسجلين	سجل	المسجلين	سجل
القابلية	قبل	القابلية	قبل
متخصصتان	خصص	متخصصتان	خصص
الحفارة	حفر	الحفارة	حفر
المجلتان	جلل	المجلتان	جلل
مسترخون	رخي	مسترخون	رخي
والصناعة	صنع	والصناعة	صنع
إعلموا	علم	إعلموا	علم
التوقعات	وقع	التوقعات	وقع
متوقع	وقع	متوقع	وقع
الوقائية	وقئ	الوقائية	وقئ
فاستدل	دلل	فاستدل	دلل
فالقى	لقي	فالقى	لقي
الدوحة	دوح	الدوحة	دوح
إعلما	علم	إعلما	علم
انتخى	نخو	انتخى	نخو
المنزلية	نزل	المنزلية	نزل
النقرات	نقر	النقرات	نقر
أنقلهن	نقل	أنقلهن	نقل
إستئناف	ءنف	إستئناف	ءنف
بالتعاملات	عمل	بالتعاملات	عمل
مصافي	صفي	مصافي	صفي
مصائر	صير	مصائر	صير
للتقارير	قرر	للتقارير	قرر
ساستخدم	خدم	ساستخدم	خدم
استهلوا	سهل	استهلوا	سهل
المجوسية	مجس	المجوسية	مجس
مدقق	دقق	مدقق	دقق
والإنكسارات	كسر	والإنكسارات	كسر
الذمامة	ذم	الذمامة	ذم
المحتجون	حجج	المحتجون	حجج
مدققون	دقق	مدققون	دقق
الاستغلالي	غلل	الاستغلالي	غلل
معماريون	عمر	معماريون	عمر
والمانيا		والمانيا	
الصناديق	صندق	الصناديق	صندق
الفى	لفي	الفى	لفي
والتقييم	قيم	والتقييم	قيم
إبتهاجا	بهج	إبتهاجا	بهج
متوكلات	وكل	متوكلات	وكل
والتربوي	ربو	والتربوي	ربو
والراجعة	رجع	والراجعة	رجع
والمدرسين	درس	والمدرسين	درس
استحلفكن	حلف	استحلفكن	حلف
منشقات	شقق	منشقات	شقق
الصعوبات	صعب	الصعوبات	صعب
الصباغين	صبغ	الصباغين	صبغ
ومحركوها	حرك	ومحركوها	حرك
والمسؤولية	سءل	والمسؤولية	سءل
الجماعية	جمع	الجماعية	جمع
المحللات	حلل	المحللات	حلل
الساعتين	سعي	الساعتين	سعي
اضاف	ضيف	اضاف	ضيف
رجوعكن	رجع	رجوعكن	رجع
التوصيات	وصي	التوصيات	وصي
لعبتيهما	لعب	لعبتيهما	لعب
الذاهبين	ذهب	الذاهبين	ذهب
الذاهبات	ذهب	الذاهبات	ذهب
الصناعات	صنع	الصناعات	صنع
الانتخابية	نخب	الانتخابية	نخب
متطرفات	طرف	متطرفات	طرف
الذرية	ذرء	الذرية	ذرء
والضرائب	ضرب	والضرائب	ضرب
والمتعلقة	علق	والمتعلقة	علق
مزال	زول	مزال	زول
الفولاني	فول	الفولاني	فول
بالاعلان	علن	بالاعلان	علن
للمعلوماتية	علم	للمعلوماتية	علم
الشلة	شلل	الشلة	شلل
التنموية	نمو	التنموية	نمو
سيتحركوا	حرك	سيتحركوا	حرك
الفائزين	فوز	الفائزين	فوز
والانعزالية	عزل	والانعزالية	عزل
مزاء	مزز	مزاء	مزز
والتكهنات	كهن	والتكهنات	كهن
الصراعات	صرع	الصراعات	صرع
المحللان	حلل	المحللان	حلل
الرسول	رسل	الرسول	رسل
مخفي	خفي	مخفي	خفي
فالطريقة	طرق	فالطريقة	طرق
مصاص	مصص	مصاص	مصص
ألوانهن	لون	ألوانهن	لون
الذاهبان	ذهب	الذاهبان	ذهب
بالعربية	عرب	بالعربية	عرب
الائتمانية	نمو	الائتمانية	نمو
سيتم	تمم	سيتم	تمم
والاعمال	عمل	والاعمال	عمل
بلاغتهن	بلغ	بلاغتهن	بلغ
والتجارب	جرب	والتجارب	جرب
إعترفن	عرف	إعترفن	عرف
متسق	وسق	متسق	وسق
يحللون	حلل	يحللون	حلل
إستخدام	خدم	إستخدام	خدم
التجارية	تجر	التجارية	تجر
بامكانها	مكن	بامكانها	مكن
وصفى	وصف	وصفى	وصف
مسائلات	سءل	مسائلات	سءل
والرصانة	رصن	والرصانة	رصن
صباغون	صبغ	صباغون	صبغ
تخندقات	خندق	تخندقات	خندق
مصوتون	صوت	مصوتون	صوت
دوواوينهن	دون	دوواوينهن	دون
فيسوي	سوي	فيسوي	سوي
الابتدائية	بدء	الابتدائية	بدء
النويم	نوم	النويم	نوم
ممرات	مرر	ممرات	مرر
الشركتين	شرك	الشركتين	شرك
السياسات	سيس	السياسات	سيس
والمتوقع	وقع	والمتوقع	وقع
والساجدتين	سجد	والساجدتين	سجد
أوامرهن	ءمر	أوامرهن	ءمر
بالرسائل	رسل	بالرسائل	رسل
الحديدية	حدد	الحديدية	حدد
التسريبات	سرب	التسريبات	سرب
الدنئ	دنئ	الدنئ	دنئ
وأهميتها	همم	وأهميتها	همم
ميجابكسل		ميجابكسل	
إسئلي	سءل	إسئلي	سءل
مصتحبون	صحب	مصتحبون	صحب
تحليلاتهن	حلل	تحليلاتهن	حلل
الدبابات	دبب	الدبابات	دبب
التصوير	صور	التصوير	صور
استخدامهن	خدم	استخدامهن	خدم
الإنعكاسات	عكس	الإنعكاسات	عكس
والرسائل	رسل	والرسائل	رسل
مذكر	ذكر	مذكر	ذكر
العوايشة	عيش	العوايشة	عيش
باحدث	حدث	باحدث	حدث
التصويت	صوت	التصويت	صوت
الملكية	ملك	الملكية	ملك
محركان	حرك	محركان	حرك
التوحد	وحد	التوحد	وحد
جثامين	جثم	جثامين	جثم
والدارسات	درس	والدارسات	درس
الغسلج	غسلج	الغسلج	غسلج
بالتعامل	عمل	بالتعامل	عمل
ملكيتهما	ملك	ملكيتهما	ملك
ظمان	ظمء	ظمان	ظمء
احتياطية	حوط	احتياطية	حوط
والدولية	دول	والدولية	دول
لبطاريات		لبطاريات	
التصاميم	صمم	التصاميم	صمم
لغتهن	لغة	لغتهن	لغة
والمحركون	حرك	والمحركون	حرك
غيبوب	غيب	غيبوب	غيب
مبتلئ	بلي	مبتلئ	بلي
عرباتهن	عرب	عرباتهن	عرب
والتصميم	صمم	والتصميم	صمم
المحللون	حلل	المحللون	حلل
محركات	حرك	محركات	حرك
اليآسة	يئس	اليآسة	يئس
التثبيت	ثبت	التثبيت	ثبت
الراجعين	رجع	الراجعين	رجع
والتغطيه	غطي	والتغطيه	غطي
للمدونات	دون	للمدونات	دون
والمتطرفين	طرف	والمتطرفين	طرف
معيشا	عيش	معيشا	عيش
روابطكن	ربط	روابطكن	ربط
المختصين	خصص	المختصين	خصص
السريرية	سرر	السريرية	سرر
محللات	حلل	محللات	حلل
الصباحية	صبح	الصباحية	صبح
والصائغة	صوغ	والصائغة	صوغ
لمتتبعين	تبع	لمتتبعين	تبع
محللان	حلل	محللان	حلل
والتعاطي	عطي	والتعاطي	عطي
إستمعا	سمع	إستمعا	سمع
التحتية	تحت	التحتية	تحت
والصاغة	صوغ	والصاغة	صوغ
مسابقتهن	سبق	مسابقتهن	سبق
والناقلين	نقل	والناقلين	نقل
والتنفيذية	نفذ	والتنفيذية	نفذ
دخولهن	دخل	دخولهن	دخل
الثنائية	ثنء	الثنائية	ثنء
التفاصيل	فصل	التفاصيل	فصل
الدولتين	دول	الدولتين	دول
الدعاء	دعو	الدعاء	دعو
والنمطية	نمط	والنمطية	نمط
إقسموا	قسم	إقسموا	قسم
تقنياتها	قني	تقنياتها	قني
منان	منن	منان	منن
سيربحون	ربح	سيربحون	ربح
القى	لقي	القى	لقي
والتفاعل	فعل	والتفاعل	فعل
وتشفيرها	شفر	وتشفيرها	شفر
الإئتمان	ءمن	الإئتمان	ءمن
تأخرن	ءخر	تأخرن	ءخر
التراب	ترب	التراب	ترب
الناقلات	نقل	الناقلات	نقل
والروابط	ربط	والروابط	ربط
المهنية	مهن	المهنية	مهن
متيبس	يبس	متيبس	يبس
والرابطان	ربط	والرابطان	ربط
مكتوي	كوي	مكتوي	كوي
أستغلوا	غل	أستغلوا	غل
التأشيرة	شير	التأشيرة	شير
سالكوا	سلك	سالكوا	سلك
المؤثرات	ءثر	المؤثرات	ءثر
المتطورة	طور	المتطورة	طور
النابغين	نبغ	النابغين	نبغ
بمواصفات	وصف	بمواصفات	وصف
المطورين	طور	المطورين	طور
الصحابيون	صحب	الصحابيون	صحب
ادباء	ءدب	ادباء	ءدب
تأخرت	ءخر	تأخرت	ءخر
استغاثهن	غوث	استغاثهن	غوث
مجرب	جرب	مجرب	جرب
الناقلتان	نقل	الناقلتان	نقل
والتقارير	قرر	والتقارير	قرر
الافتراضية	فرض	الافتراضية	فرض
الراجع	رجع	الراجع	رجع
الناقلان	نقل	الناقلان	نقل
والاخبار	خبر	والاخبار	خبر
والعمال	عمل	والعمال	عمل
الصائغات	صوغ	الصائغات	صوغ
مصتحبات	صحب	مصتحبات	صحب
بالسهولة	سهل	بالسهولة	سهل
احترازية	حرز	احترازية	حرز
قحربة	قحرب	قحربة	قحرب
والأجنبية	جنب	والأجنبية	جنب
والرابط	ربط	والرابط	ربط
مصتحب	صحب	مصتحب	صحب
اكرومة	كرم	اكرومة	كرم
البثاء	بني	البثاء	بني
النداء	ندو	النداء	ندو
المسوحات	سوح	المسوحات	سوح
يربحون	ربح	يربحون	ربح
الاستشارية	شور	الاستشارية	شور
بالاتصال	وصل	بالاتصال	وصل
المحللين	حلل	المحللين	حلل
اصطحبهن	صحب	اصطحبهن	صحب
التاريخيون	ءرخ	التاريخيون	ءرخ
ربحكن	ربح	ربحكن	ربح
الراغبين	رغب	الراغبين	رغب
والثغرات	ثغر	والثغرات	ثغر
الرابطة	ربط	الرابطة	ربط
وتأهيلهن	ءهل	وتأهيلهن	ءهل
وتأهيلهم	ءهل	وتأهيلهم	ءهل
بأمكانية	مكن	بأمكانية	مكن
البطارية		البطارية	
المصممون	صمم	المصممون	صمم
الاجمالي	جمل	الاجمالي	جمل
تربح	ربح	تربح	ربح
المقننين	قنن	المقننين	قنن
والمؤلفين	ءلف	والمؤلفين	ءلف
إستغلتها	غلل	إستغلتها	غلل
الرسوميه	رسم	الرسوميه	رسم
بالتجانس	جنس	بالتجانس	جنس
بالافتراضية	فرض	بالافتراضية	فرض
التوتر	وتر	التوتر	وتر
الشخصيات	شخص	الشخصيات	شخص
الناقلين	نقل	الناقلين	نقل
والتأثيرات	ءثر	والتأثيرات	ءثر
المقنؤة	قنء	المقنؤة	قنء
التطفلية	طفل	التطفلية	طفل
يتحسن	حسن	يتحسن	حسن
السقاء	سقي	السقاء	سقي
متحري	حري	متحري	حري
الاسلامية	سلم	الاسلامية	سلم
وصلاء	وصل	وصلاء	وصل
مسدسات	سدس	مسدسات	سدس
والنتائج	نتج	والنتائج	نتج
مذكرتين	ذكر	مذكرتين	ذكر
ثوار	ثور	ثوار	ثور
مسؤولية	سءل	مسؤولية	سءل
متأدب	ءدب	متأدب	ءدب
باحلال	حلل	باحلال	حلل
فإستمروا	مرر	فإستمروا	مرر
بالعربي	عرب	بالعربي	عرب
أفكارهن	فكر	أفكارهن	فكر
اللاجئين	لجء	اللاجئين	لجء
والتعبير	عبر	والتعبير	عبر
الإقتباس	قبس	الإقتباس	قبس
الجمهوري	جمهر	الجمهوري	جمهر
متعددتين	عدد	متعددتين	عدد
الإكتساب	كسب	الإكتساب	كسب
الذاهبون	ذهب	الذاهبون	ذهب
إستحلف	حلف	إستحلف	حلف
والسماعة	سمع	والسماعة	سمع
الأفارقة	فرق	الأفارقة	فرق
كالدمية	دمي	كالدمية	دمي
والمتميز	ميز	والمتميز	ميز
متحدة	وحد	متحدة	وحد
إستقامتهن	قوم	إستقامتهن	قوم
وظيفتيهما	وظف	وظيفتيهما	وظف
الأحادية	ءحد	الأحادية	ءحد
والمؤسسية	ءسس	والمؤسسية	ءسس
الثمانينات	ثمن	الثمانينات	ثمن
الذروة	ذرو	الذروة	ذرو
المفتشات	فتش	المفتشات	فتش
الافتراضي	فرض	الافتراضي	فرض
والسياسيون	سوس	والسياسيون	سوس
مؤسسة	ءسس	مؤسسة	ءسس
المذكرات	ذكر	المذكرات	ذكر
والمؤسسين	ءسس	والمؤسسين	ءسس
وقناعاتهن	قنع	وقناعاتهن	قنع
التدريبي	درب	التدريبي	درب
التنقيب	نقب	التنقيب	نقب
وإقتصادياتهم	قصد	وإقتصادياتهم	قصد
وإقتصادياتهن	قصد	وإقتصادياتهن	قصد
متألف	ءلف	متألف	ءلف
يتمرنون	مرن	يتمرنون	مرن
الإسلامية	سلم	الإسلامية	سلم
وادعاءات	دعي	وادعاءات	دعي
ماصر	مصر	ماصر	مصر
إخلع	خلع	إخلع	خلع
مصلى	صلو	مصلى	صلو
أمآق	مءق	أمآق	مءق
ستستمران	مرر	ستستمران	مرر
ادواء	دوي	ادواء	دوي
الإتفاقات	وفق	الإتفاقات	وفق
حملهن	حمل	حملهن	حمل
متعلقتين	علق	متعلقتين	علق
والدوائر	دور	والدوائر	دور
الطالبين	طلب	الطالبين	طلب
المهمه	مهه	المهمه	مهه
والمؤلفة	ءلف	والمؤلفة	ءلف
بالصابون	صبن	بالصابون	صبن
بالتعطيل	عطل	بالتعطيل	عطل
فتزول	زول	فتزول	زول
مضماض	مضض	مضماض	مضض
فيتشهد	شهد	فيتشهد	شهد
جناء	جني	جناء	جني
الراحل	رحل	الراحل	رحل
جنات	جني	جنات	جني
مساح	مسح	مساح	مسح
الاتحادي	وحد	الاتحادي	وحد
